# Date:     2025-02-15 20:36:50
# Database: ocvs
# Target:   lmc_rrlyr
# Query:    (type='RRab') 
# Objects:  29151
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-RRLYR-20074	RRab	84.131295	-70.481444	18.673	19.336	0.663	0.67972470	0.00000630	6000.06349	0.109	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-20075	RRab	84.132285	-69.253306	19.546	-99.99	-99.99	0.59131790	0.00000560	6000.06292	0.625	0.712	4.588	0.000	-99.99
OGLE-LMC-RRLYR-20077	RRab	84.132330	-70.702222	18.756	-99.99	-99.99	0.57113140	0.00000800	6000.27471	0.584	0.491	4.148	0.277	2.195
OGLE-LMC-RRLYR-20079	RRab	84.133125	-70.249139	17.716	18.522	0.806	0.47479120	0.00000090	6000.10663	0.262	0.460	3.803	0.296	1.790
OGLE-LMC-RRLYR-20080	RRab	84.133785	-68.215806	18.628	19.142	0.514	0.56636760	0.00000070	6000.31560	0.557	0.480	4.201	0.374	2.444
OGLE-LMC-RRLYR-20081	RRab	84.134745	-70.221472	18.776	19.472	0.696	0.65828220	0.00000580	6000.62868	0.411	0.553	4.414	0.282	2.783
OGLE-LMC-RRLYR-20082	RRab	84.135465	-68.832111	18.896	19.517	0.621	0.58093300	0.00000090	6000.40526	0.564	0.489	4.280	0.351	2.679
OGLE-LMC-RRLYR-20084	RRab	84.136545	-71.401083	19.119	19.764	0.645	0.48092540	0.00000060	6000.39233	0.849	0.446	4.135	0.335	2.002
OGLE-LMC-RRLYR-20085	RRab	84.136620	-70.764639	18.786	-99.99	-99.99	0.61344230	0.00001050	6000.12763	0.304	0.555	5.132	0.364	4.388
OGLE-LMC-RRLYR-20086	RRab	84.136665	-69.749333	19.012	19.696	0.684	0.55256450	0.00000100	6000.37822	0.599	0.480	4.203	0.328	2.438
OGLE-LMC-RRLYR-20087	RRab	84.136785	-69.829250	18.895	19.195	0.300	0.59056740	0.00000160	6000.44969	0.449	0.413	4.453	0.234	2.802
OGLE-LMC-RRLYR-20088	RRab	84.139545	-71.033778	18.115	-99.99	-99.99	0.49022620	0.00001090	6000.12665	0.080	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-20090	RRab	84.140715	-71.372222	18.862	19.470	0.608	0.60464840	0.00000210	6000.13302	0.424	0.467	4.639	0.319	3.220
OGLE-LMC-RRLYR-20091	RRab	84.141045	-71.026972	18.810	-99.99	-99.99	0.49039960	0.00000380	6000.04518	0.609	0.713	4.981	0.191	-99.99
OGLE-LMC-RRLYR-20092	RRab	84.141120	-70.464889	18.896	19.512	0.616	0.53291710	0.00000110	6000.35851	0.554	0.426	4.174	0.291	2.328
OGLE-LMC-RRLYR-20093	RRab	84.141285	-68.876667	18.895	19.573	0.678	0.64409950	0.00000130	6000.24868	0.503	0.485	4.602	0.301	3.017
OGLE-LMC-RRLYR-20094	RRab	84.141630	-68.979972	19.589	20.441	0.852	0.50524610	0.00000150	6000.28611	0.668	0.464	4.186	0.306	2.371
OGLE-LMC-RRLYR-20095	RRab	84.141705	-70.800889	19.013	-99.99	-99.99	0.53982600	0.00000320	6000.28848	0.637	0.391	4.237	0.307	2.021
OGLE-LMC-RRLYR-20096	RRab	84.143295	-70.990972	18.741	-99.99	-99.99	0.53605580	0.00000040	6000.18191	0.567	0.522	4.255	0.428	2.785
OGLE-LMC-RRLYR-20097	RRab	84.143535	-68.936556	19.646	20.761	1.115	0.55541150	0.00000120	6000.38246	0.673	0.501	4.097	0.400	2.257
OGLE-LMC-RRLYR-20099	RRab	84.143835	-69.655639	18.732	19.380	0.648	0.62051830	0.00000160	6000.55877	0.552	0.473	4.333	0.276	2.570
OGLE-LMC-RRLYR-20100	RRab	84.144285	-69.513000	19.039	19.641	0.602	0.54860150	0.00000110	6000.05916	0.564	0.466	4.349	0.309	2.573
OGLE-LMC-RRLYR-20102	RRab	84.145080	-69.584500	19.173	19.942	0.769	0.64617700	0.00000450	6000.26487	0.246	0.367	4.875	0.000	-99.99
OGLE-LMC-RRLYR-20103	RRab	84.145245	-69.388500	18.538	19.001	0.463	0.61211280	0.00000140	6000.01474	0.309	0.498	4.565	0.301	3.109
OGLE-LMC-RRLYR-20104	RRab	84.145965	-70.143611	18.906	19.387	0.481	0.47038630	0.00000030	6000.07847	0.859	0.512	4.136	0.377	2.103
OGLE-LMC-RRLYR-20105	RRab	84.147090	-70.032083	19.297	19.966	0.669	0.47737920	0.00000130	6000.19451	0.670	0.412	4.109	0.214	2.119
OGLE-LMC-RRLYR-20107	RRab	84.147840	-68.098944	18.466	19.104	0.638	0.69798610	0.00000260	6000.41377	0.236	0.346	4.629	0.148	3.358
OGLE-LMC-RRLYR-20109	RRab	84.148875	-70.137333	18.859	19.408	0.549	0.53177360	0.00000060	6000.52737	0.820	0.458	4.102	0.346	2.097
OGLE-LMC-RRLYR-20110	RRab	84.148965	-71.032139	18.770	-99.99	-99.99	0.55533490	0.00000150	6000.28551	0.827	0.453	3.771	0.401	1.921
OGLE-LMC-RRLYR-20111	RRab	84.149460	-68.453861	18.784	19.404	0.620	0.60153910	0.00000130	6000.50550	0.336	0.367	4.402	0.209	2.654
OGLE-LMC-RRLYR-20112	RRab	84.149880	-70.926750	18.651	-99.99	-99.99	0.61403410	0.00000200	6000.05858	0.428	0.444	4.417	0.303	3.005
OGLE-LMC-RRLYR-20113	RRab	84.151035	-71.777083	18.785	19.346	0.561	0.54771690	0.00000210	6000.05718	0.589	0.395	4.089	0.242	2.118
OGLE-LMC-RRLYR-20114	RRab	84.152205	-70.450889	18.738	19.247	0.509	0.54987580	0.00000040	6000.02086	0.523	0.472	4.250	0.302	2.542
OGLE-LMC-RRLYR-20116	RRab	84.154545	-69.600250	18.807	19.380	0.573	0.57360980	0.00000640	6000.16608	0.587	0.450	4.347	0.344	2.656
OGLE-LMC-RRLYR-20117	RRab	84.155130	-71.459778	18.787	-99.99	-99.99	0.52772130	0.00000130	6000.29332	0.628	0.529	4.340	0.308	2.468
OGLE-LMC-RRLYR-20118	RRab	84.155340	-69.891694	18.637	19.227	0.590	0.60639930	0.00000200	6000.38819	0.385	0.457	4.469	0.284	2.958
OGLE-LMC-RRLYR-20119	RRab	84.156420	-69.477389	19.176	20.032	0.856	0.52922030	0.00000070	6000.46964	0.697	0.507	4.118	0.370	2.321
OGLE-LMC-RRLYR-20122	RRab	84.160080	-68.526556	18.377	18.993	0.616	0.67561340	0.00000130	6000.43478	0.574	0.450	4.358	0.329	2.633
OGLE-LMC-RRLYR-20124	RRab	84.161880	-70.229389	18.567	-99.99	-99.99	0.70516640	0.00000110	6000.30599	0.350	0.433	4.757	0.185	-99.99
OGLE-LMC-RRLYR-20125	RRab	84.161955	-69.563667	18.659	19.300	0.641	0.78218260	0.00000160	6000.57441	0.446	0.450	4.684	0.284	3.195
OGLE-LMC-RRLYR-20126	RRab	84.162000	-70.456389	17.487	17.656	0.169	0.53351070	0.00000050	6000.43186	0.259	0.505	4.030	0.393	1.962
OGLE-LMC-RRLYR-20127	RRab	84.162495	-69.479833	18.935	19.561	0.626	0.55635820	0.00000130	6000.01897	0.570	0.473	4.251	0.368	2.492
OGLE-LMC-RRLYR-20129	RRab	84.162585	-69.402361	18.393	19.009	0.616	0.59507070	0.00000070	6000.26622	0.518	0.515	4.309	0.351	2.609
OGLE-LMC-RRLYR-20131	RRab	84.163665	-70.477611	18.482	19.133	0.651	0.74431750	0.00000330	6000.42533	0.225	0.321	4.792	0.100	3.095
OGLE-LMC-RRLYR-20132	RRab	84.163995	-71.555167	18.767	-99.99	-99.99	0.58387570	0.00000610	6000.40975	0.413	0.472	4.604	0.303	2.225
OGLE-LMC-RRLYR-20134	RRab	84.166410	-68.950861	19.390	20.560	1.170	0.53752660	0.00000210	6000.16988	0.549	0.427	4.117	0.272	2.076
OGLE-LMC-RRLYR-20135	RRab	84.166710	-70.950639	18.914	19.388	0.474	0.44050570	0.00000070	6000.39450	0.764	0.503	4.120	0.337	2.073
OGLE-LMC-RRLYR-20136	RRab	84.167415	-70.411667	18.937	19.497	0.560	0.50988240	0.00000120	6000.33591	0.594	0.396	4.046	0.241	1.712
OGLE-LMC-RRLYR-20137	RRab	84.167670	-69.162500	19.695	20.453	0.758	0.59818430	0.00000250	6000.23322	0.827	0.513	4.147	0.356	2.148
OGLE-LMC-RRLYR-20141	RRab	84.172290	-69.084250	19.557	20.363	0.806	0.46550340	0.00000060	6000.13447	0.803	0.455	4.063	0.356	1.939
OGLE-LMC-RRLYR-20143	RRab	84.174000	-71.688639	19.010	-99.99	-99.99	0.47325910	0.00000110	6000.39131	0.555	0.348	4.434	0.213	2.751
OGLE-LMC-RRLYR-20145	RRab	84.174585	-70.921417	18.588	19.212	0.624	0.66567570	0.00000080	6000.30387	0.624	0.520	4.402	0.353	2.610
OGLE-LMC-RRLYR-20146	RRab	84.175710	-69.179417	19.033	19.804	0.771	0.59722360	0.00000090	6000.12240	0.716	0.527	4.221	0.346	2.401
OGLE-LMC-RRLYR-20147	RRab	84.176370	-70.563278	18.653	19.259	0.606	0.63587460	0.00000180	6000.03225	0.390	0.433	4.530	0.269	2.977
OGLE-LMC-RRLYR-20148	RRab	84.176625	-68.407889	18.863	19.492	0.629	0.56909590	0.00000070	6000.46913	0.666	0.469	4.177	0.381	2.326
OGLE-LMC-RRLYR-20149	RRab	84.176880	-69.516806	18.777	19.368	0.591	0.60282720	0.00000090	6000.04376	0.467	0.458	4.527	0.318	2.923
OGLE-LMC-RRLYR-20151	RRab	84.178830	-68.466361	18.793	19.336	0.543	0.53123430	0.00000110	6000.17520	0.590	0.439	4.149	0.305	2.042
OGLE-LMC-RRLYR-20152	RRab	84.179745	-70.603333	18.812	19.624	0.812	0.51941460	0.00000090	6000.47190	0.777	0.460	4.137	0.362	2.241
OGLE-LMC-RRLYR-20153	RRab	84.180255	-70.068306	17.747	18.748	1.001	0.49921120	0.00000180	6000.47364	0.192	0.512	3.913	0.401	1.783
OGLE-LMC-RRLYR-20154	RRab	84.180465	-71.360639	18.608	19.190	0.582	0.60731750	0.00000170	6000.12465	0.426	0.441	4.387	0.330	2.478
OGLE-LMC-RRLYR-20155	RRab	84.180660	-71.747556	18.932	-99.99	-99.99	0.62448670	0.00001640	6000.24983	0.315	0.479	4.978	0.000	-99.99
OGLE-LMC-RRLYR-20157	RRab	84.180960	-68.400444	18.825	19.368	0.543	0.54813040	0.00000050	6000.16283	0.739	0.482	4.206	0.360	2.303
OGLE-LMC-RRLYR-20161	RRab	84.185460	-70.365722	19.047	19.295	0.248	0.54903480	0.00000090	6000.45614	0.707	0.498	4.260	0.384	2.470
OGLE-LMC-RRLYR-20162	RRab	84.187125	-70.075667	19.015	19.765	0.750	0.59854740	0.00000110	6000.13245	0.486	0.487	4.538	0.311	3.039
OGLE-LMC-RRLYR-20163	RRab	84.187410	-68.405806	18.696	19.315	0.619	0.62578310	0.00000080	6000.45565	0.643	0.501	4.318	0.353	2.666
OGLE-LMC-RRLYR-20164	RRab	84.188670	-70.078917	18.801	19.421	0.620	0.59685940	0.00000090	6000.40820	0.590	0.509	4.450	0.333	2.890
OGLE-LMC-RRLYR-20165	RRab	84.189465	-69.443500	18.666	19.232	0.566	0.63341670	0.00000240	6000.30038	0.227	0.358	4.535	0.175	3.292
OGLE-LMC-RRLYR-20166	RRab	84.191535	-69.432806	18.926	19.605	0.679	0.56131760	0.00000180	6000.01206	0.443	0.415	4.305	0.262	2.492
OGLE-LMC-RRLYR-20168	RRab	84.192000	-69.520056	18.755	19.300	0.545	0.55914910	0.00000060	6000.32008	0.669	0.491	4.242	0.347	2.457
OGLE-LMC-RRLYR-20169	RRab	84.193785	-69.468389	19.075	19.700	0.625	0.45805380	0.00000040	6000.45191	0.838	0.461	3.984	0.376	1.969
OGLE-LMC-RRLYR-20170	RRab	84.194715	-70.508139	19.242	19.857	0.615	0.46096200	0.00000070	6000.39111	0.608	0.534	4.534	0.312	2.795
OGLE-LMC-RRLYR-20172	RRab	84.195870	-68.417500	19.153	19.717	0.564	0.43780630	0.00000060	6000.14142	0.573	0.516	4.375	0.298	2.786
OGLE-LMC-RRLYR-20174	RRab	84.196755	-69.335639	19.255	20.105	0.850	0.59848890	0.00000150	6000.35838	0.456	0.493	4.459	0.306	2.824
OGLE-LMC-RRLYR-20175	RRab	84.197880	-69.165917	19.279	20.192	0.913	0.61973740	0.00000220	6000.60951	0.422	0.435	4.320	0.294	2.600
OGLE-LMC-RRLYR-20178	RRab	84.198495	-70.534056	18.957	19.636	0.679	0.56789640	0.00000080	6000.45698	0.586	0.459	4.343	0.349	2.664
OGLE-LMC-RRLYR-20179	RRab	84.199170	-69.492250	18.793	19.401	0.608	0.62426740	0.00000240	6000.58237	0.270	0.352	4.793	0.165	3.552
OGLE-LMC-RRLYR-20180	RRab	84.199830	-70.064917	18.708	19.214	0.506	0.56316250	0.00000060	6000.14508	0.773	0.490	4.193	0.368	2.357
OGLE-LMC-RRLYR-20181	RRab	84.203160	-70.370528	18.967	19.549	0.582	0.55451970	0.00000050	6000.06279	0.774	0.489	4.258	0.374	2.443
OGLE-LMC-RRLYR-20182	RRab	84.203205	-69.850972	18.771	19.398	0.627	0.62582560	0.00000190	6000.28660	0.498	0.446	4.498	0.229	2.825
OGLE-LMC-RRLYR-20183	RRab	84.206880	-68.004500	18.693	19.295	0.602	0.55658590	0.00000200	6000.21804	0.596	0.417	4.162	0.225	1.953
OGLE-LMC-RRLYR-20184	RRab	84.207375	-68.963389	19.644	20.662	1.018	0.53665150	0.00000090	6000.20886	0.705	0.459	4.034	0.311	1.945
OGLE-LMC-RRLYR-20186	RRab	84.211785	-68.361222	18.793	19.429	0.636	0.61620930	0.00000100	6000.09463	0.442	0.453	4.464	0.328	2.827
OGLE-LMC-RRLYR-20187	RRab	84.212715	-69.536278	18.809	19.444	0.635	0.57298760	0.00000080	6000.29846	0.558	0.494	4.338	0.363	2.669
OGLE-LMC-RRLYR-20188	RRab	84.212715	-69.705917	19.263	19.926	0.663	0.54058980	0.00000060	6000.40844	0.727	0.481	4.226	0.362	2.437
OGLE-LMC-RRLYR-20189	RRab	84.212880	-71.370472	18.796	19.268	0.472	0.50923860	0.00000050	6000.03587	0.811	0.436	4.035	0.341	2.020
OGLE-LMC-RRLYR-20190	RRab	84.215130	-68.544278	18.816	19.422	0.606	0.57392140	0.00000060	6000.12424	0.613	0.495	4.262	0.349	2.546
OGLE-LMC-RRLYR-20191	RRab	84.216000	-68.771694	18.720	19.241	0.521	0.65383870	0.00000650	6000.14396	0.496	0.386	3.839	0.200	1.722
OGLE-LMC-RRLYR-20192	RRab	84.216495	-69.084667	19.543	20.587	1.044	0.63987120	0.00000190	6000.16744	0.521	0.519	4.489	0.361	2.848
OGLE-LMC-RRLYR-20193	RRab	84.216870	-71.461750	18.634	-99.99	-99.99	0.61310960	0.00000220	6000.10192	0.350	0.407	3.894	0.249	1.787
OGLE-LMC-RRLYR-20194	RRab	84.217410	-68.691861	18.821	19.416	0.595	0.58164620	0.00000380	6000.39942	0.438	0.297	4.242	0.073	2.386
OGLE-LMC-RRLYR-20196	RRab	84.218505	-71.682944	18.825	19.463	0.638	0.60561730	0.00000070	6000.30936	0.772	0.500	4.256	0.354	2.455
OGLE-LMC-RRLYR-20197	RRab	84.218955	-69.674833	18.722	19.210	0.488	0.55468450	0.00000050	6000.21792	0.777	0.467	4.089	0.373	2.134
OGLE-LMC-RRLYR-20198	RRab	84.223080	-71.472417	19.053	-99.99	-99.99	0.59723670	0.00000520	6000.40792	0.419	0.358	5.315	0.274	4.218
OGLE-LMC-RRLYR-20200	RRab	84.223455	-69.854889	18.857	19.777	0.920	0.56271450	0.00000070	6000.21883	0.571	0.529	4.320	0.375	2.658
OGLE-LMC-RRLYR-20201	RRab	84.224085	-69.825500	19.171	20.010	0.839	0.54125380	0.00000070	6000.48372	0.671	0.485	4.167	0.366	2.316
OGLE-LMC-RRLYR-20202	RRab	84.224130	-70.767667	19.031	19.608	0.577	0.52299630	0.00000080	6000.28631	0.844	0.446	4.052	0.348	2.018
OGLE-LMC-RRLYR-20204	RRab	84.224625	-68.513944	18.758	19.462	0.704	0.63026360	0.00000220	6000.48043	0.286	0.394	4.534	0.260	3.171
OGLE-LMC-RRLYR-20205	RRab	84.224835	-69.366250	18.940	19.554	0.614	0.51841470	0.00000170	6000.09584	0.478	0.324	4.057	0.143	1.456
OGLE-LMC-RRLYR-20206	RRab	84.225000	-70.012528	18.887	19.637	0.750	0.64375650	0.00000190	6000.13025	0.483	0.465	4.399	0.314	2.902
OGLE-LMC-RRLYR-20207	RRab	84.225165	-67.881333	18.698	19.271	0.573	0.60486290	0.00000060	6000.49182	0.706	0.505	4.195	0.357	2.456
OGLE-LMC-RRLYR-20209	RRab	84.226455	-70.210333	18.824	19.371	0.547	0.54413910	0.00000130	6000.34485	0.568	0.448	4.272	0.334	2.248
OGLE-LMC-RRLYR-20210	RRab	84.226665	-70.083667	18.908	19.421	0.513	0.52442910	0.00000060	6000.01607	0.791	0.484	4.128	0.377	2.267
OGLE-LMC-RRLYR-20211	RRab	84.227130	-69.952528	19.245	20.089	0.844	0.58801300	0.00000110	6000.27244	0.571	0.508	4.401	0.354	2.810
OGLE-LMC-RRLYR-20212	RRab	84.228660	-70.095583	17.854	18.668	0.814	0.58415890	0.00000110	6000.44518	0.231	0.482	4.318	0.353	2.723
OGLE-LMC-RRLYR-20213	RRab	84.228630	-71.047306	19.274	20.024	0.750	0.53876220	0.00000190	6000.22081	0.413	0.449	4.564	0.268	3.110
OGLE-LMC-RRLYR-20214	RRab	84.228660	-71.177306	19.071	19.802	0.731	0.55314040	0.00000090	6000.44242	0.634	0.535	4.213	0.366	2.447
OGLE-LMC-RRLYR-20216	RRab	84.231540	-70.278639	18.824	19.335	0.511	0.54557820	0.00000040	6000.01840	0.923	0.513	4.060	0.350	2.226
OGLE-LMC-RRLYR-20218	RRab	84.232380	-67.850889	18.751	19.304	0.553	0.53791640	0.00000160	6000.45596	0.496	0.399	4.205	0.242	2.224
OGLE-LMC-RRLYR-20219	RRab	84.232830	-69.887556	19.017	19.555	0.538	0.49205190	0.00000110	6000.22444	0.661	0.442	4.180	0.267	2.190
OGLE-LMC-RRLYR-20220	RRab	84.232785	-71.183444	18.746	19.385	0.639	0.56712150	0.00000080	6000.52113	0.591	0.524	4.267	0.381	2.473
OGLE-LMC-RRLYR-20221	RRab	84.233715	-69.599500	18.866	19.469	0.603	0.53559880	0.00000560	6000.46467	0.746	0.434	4.022	0.358	1.954
OGLE-LMC-RRLYR-20222	RRab	84.233745	-70.097639	18.879	19.552	0.673	0.62085610	0.00000170	6000.16137	0.355	0.466	4.674	0.301	3.238
OGLE-LMC-RRLYR-20223	RRab	84.235035	-70.335944	18.584	19.181	0.597	0.64417160	0.00000200	6000.44354	0.297	0.411	4.534	0.208	3.070
OGLE-LMC-RRLYR-20225	RRab	84.237165	-71.407472	18.891	19.527	0.636	0.57148630	0.00000110	6000.27153	0.587	0.464	4.307	0.343	2.563
OGLE-LMC-RRLYR-20226	RRab	84.237915	-68.190444	18.841	19.438	0.597	0.56627040	0.00000240	6000.02411	0.341	0.426	4.492	0.167	2.892
OGLE-LMC-RRLYR-20227	RRab	84.239130	-69.687222	19.238	20.143	0.905	0.62754710	0.00000350	6000.36697	0.254	0.376	4.545	0.199	3.239
OGLE-LMC-RRLYR-20228	RRab	84.239715	-69.249472	19.569	20.548	0.979	0.54539750	0.00000180	6000.42984	0.576	0.411	4.126	0.214	1.932
OGLE-LMC-RRLYR-20229	RRab	84.239790	-69.808417	18.456	19.134	0.678	0.75538780	0.00000190	6000.56772	0.394	0.447	4.712	0.261	3.385
OGLE-LMC-RRLYR-20231	RRab	84.241500	-70.237194	18.705	-99.99	-99.99	0.71236260	0.00000120	6000.07690	0.357	0.428	4.665	0.252	-99.99
OGLE-LMC-RRLYR-20233	RRab	84.242085	-68.772278	19.024	19.588	0.564	0.46578770	0.00000030	6000.30131	0.887	0.480	4.028	0.372	1.919
