# Date:     2025-02-15 17:51:33
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-CEP-0001	1	67.740495	-69.060389	17.755	18.154	0.399	0.3068181	0.0000004	6000.12792	0.359	0.292	4.676	0.071	2.928
OGLE-LMC-CEP-0002	F	67.946040	-69.819306	15.691	16.420	0.729	3.1181490	0.0000109	6000.34799	0.261	0.295	4.645	0.093	3.004
OGLE-LMC-CEP-0003	1	68.773755	-70.424139	17.846	18.384	0.538	0.3500957	0.0000005	6000.23531	0.322	0.178	4.887	0.088	2.828
OGLE-LMC-CEP-0004	1	68.833995	-69.802139	15.123	15.690	0.567	2.2296385	0.0000065	6000.63293	0.245	0.146	4.676	0.000	-99.99
OGLE-LMC-CEP-0005	F	68.881335	-69.734944	14.651	15.425	0.774	5.6119491	0.0000135	6004.75854	0.508	0.437	4.946	0.164	3.385
OGLE-LMC-CEP-0006	1	68.925660	-69.724750	14.707	15.366	0.659	3.2947501	0.0000213	6000.96197	0.211	0.105	3.443	0.063	0.285
OGLE-LMC-CEP-0007	1	69.125250	-68.626583	16.955	17.561	0.606	0.7090827	0.0000019	6000.23537	0.191	0.174	3.336	0.137	1.076
OGLE-LMC-CEP-0008	12	69.137835	-69.312111	16.337	16.921	0.584	0.9728732	0.0000040	6000.02976	0.237	0.247	4.033	0.048	2.117
OGLE-LMC-CEP-0009	1	69.217215	-68.064250	15.433	16.130	0.697	2.0243667	0.0000276	6001.86064	0.195	0.175	4.864	0.035	2.907
OGLE-LMC-CEP-0010	1	69.235290	-68.240833	14.990	15.572	0.582	2.5655853	0.0000092	6002.26741	0.262	0.068	4.410	0.025	5.761
OGLE-LMC-CEP-0011	12	69.417585	-69.960806	16.300	16.923	0.623	1.0199256	0.0000075	6000.27574	0.230	0.154	4.397	0.050	1.926
OGLE-LMC-CEP-0012	F	69.453090	-67.214417	15.474	16.075	0.601	2.6601839	0.0000023	6001.07578	0.691	0.516	4.388	0.311	2.600
OGLE-LMC-CEP-0013	1	69.462585	-69.288500	15.564	16.130	0.566	1.5985688	0.0000032	6001.38059	0.319	0.228	4.284	0.070	2.562
OGLE-LMC-CEP-0014	1	69.578880	-69.887917	14.761	15.392	0.631	3.1356338	0.0000157	6000.24273	0.236	0.115	3.715	0.035	6.099
OGLE-LMC-CEP-0015	1	69.634500	-69.352667	15.514	16.102	0.588	1.6556995	0.0000028	6000.89527	0.294	0.223	4.199	0.056	2.518
OGLE-LMC-CEP-0017	F	69.736785	-69.688417	15.237	15.899	0.662	3.6772904	0.0000061	6001.21645	0.594	0.481	4.611	0.281	2.998
OGLE-LMC-CEP-0018	F	69.745755	-68.956889	15.181	15.994	0.813	4.0478369	0.0000185	6002.75795	0.247	0.267	4.667	0.085	3.007
OGLE-LMC-CEP-0019	1	69.763620	-68.309778	15.637	16.318	0.681	1.9290799	0.0000066	6000.84092	0.175	0.127	4.824	0.023	4.999
OGLE-LMC-CEP-0020	1	69.877125	-69.230333	14.729	15.338	0.609	3.0111731	0.0000576	6001.96548	0.039	0.000	-99.99	0.000	-99.99
OGLE-LMC-CEP-0021	F	69.879090	-69.261833	14.709	15.494	0.785	5.4579579	0.0000170	6002.24087	0.447	0.423	4.961	0.157	3.602
OGLE-LMC-CEP-0022	1	69.970380	-69.831944	14.527	15.174	0.647	3.4769471	0.0000366	6000.53750	0.084	0.047	3.543	0.000	-99.99
OGLE-LMC-CEP-0023	F	70.197840	-68.985667	16.315	17.081	0.766	1.7018187	0.0000034	6000.65340	0.418	0.431	4.338	0.255	2.505
OGLE-LMC-CEP-0024	F1	70.210875	-69.737944	14.671	15.394	0.723	5.0930109	0.0000781	6000.53380	0.125	0.091	4.542	0.025	-99.99
OGLE-LMC-CEP-0025	F	70.226535	-69.115083	15.338	16.131	0.793	3.7334902	0.0000089	6003.70986	0.368	0.401	4.671	0.173	3.108
OGLE-LMC-CEP-0026	F	70.300995	-68.799750	15.497	16.094	0.597	2.5706724	0.0000035	6002.26494	0.619	0.444	4.263	0.226	2.249
OGLE-LMC-CEP-0027	F	70.331160	-67.335583	15.037	15.641	0.604	3.5229124	0.0000050	6001.73458	0.636	0.442	4.389	0.245	2.490
OGLE-LMC-CEP-0028	F	70.362210	-69.631750	16.617	17.258	0.641	1.2629537	0.0000009	6000.35235	0.510	0.476	4.160	0.278	2.041
OGLE-LMC-CEP-0029	1	70.397670	-70.045083	15.424	16.062	0.638	1.9936733	0.0000087	6001.77006	0.266	0.160	4.635	0.023	3.497
OGLE-LMC-CEP-0030	1	70.414965	-70.096944	17.034	17.640	0.606	0.6035484	0.0000007	6000.03401	0.341	0.219	3.586	0.142	1.087
OGLE-LMC-CEP-0031	1	70.437000	-69.115417	14.450	15.154	0.704	4.3396944	0.0000250	6000.92878	0.254	0.244	4.457	0.101	2.222
OGLE-LMC-CEP-0032	12	70.438545	-69.741861	16.309	16.961	0.652	1.0616577	0.0000083	6000.01238	0.140	0.141	3.866	0.056	1.956
OGLE-LMC-CEP-0033	F	70.491375	-69.433556	14.386	15.216	0.830	7.1807603	0.0000289	6002.62615	0.496	0.338	5.370	0.211	3.683
OGLE-LMC-CEP-0034	F	70.507965	-70.646944	13.751	14.673	0.922	11.2552749	0.0000646	6007.28824	0.488	0.167	4.749	0.103	5.208
OGLE-LMC-CEP-0035	F	70.526295	-67.969889	14.376	15.154	0.778	6.9435423	0.0000256	6005.25522	0.403	0.353	5.345	0.142	3.793
OGLE-LMC-CEP-0036	F1	70.549125	-70.233889	16.446	-99.99	-99.99	1.5738216	0.0000077	6000.28193	0.228	0.473	1.693	0.467	4.640
OGLE-LMC-CEP-0037	F	70.561995	-68.436278	15.512	16.294	0.782	3.0669100	0.0000094	6002.25863	0.273	0.345	4.553	0.131	2.865
OGLE-LMC-CEP-0038	1	70.566165	-69.217056	14.977	15.654	0.677	2.7551416	0.0000109	6000.22656	0.252	0.064	4.113	0.026	5.359
OGLE-LMC-CEP-0039	F	70.658370	-68.516472	15.395	16.059	0.664	3.1477882	0.0000075	6002.07933	0.348	0.397	4.549	0.188	2.824
OGLE-LMC-CEP-0040	F	70.696920	-69.816806	14.670	15.413	0.743	5.1651068	0.0000088	6004.55294	0.577	0.435	4.622	0.201	2.992
OGLE-LMC-CEP-0041	F	70.723920	-67.433278	15.530	16.253	0.723	2.9106644	0.0000173	6002.12866	0.179	0.225	4.362	0.051	2.233
OGLE-LMC-CEP-0042	F	70.756755	-70.167111	15.667	16.360	0.693	2.5770257	0.0000037	6002.33638	0.631	0.476	4.366	0.259	2.557
OGLE-LMC-CEP-0043	1	70.765995	-68.856833	14.823	15.492	0.669	3.1488086	0.0000196	6002.03322	0.233	0.115	3.500	0.059	0.217
OGLE-LMC-CEP-0044	F	70.793670	-67.233583	14.925	15.522	0.597	4.0357552	0.0000075	6003.70515	0.618	0.439	4.450	0.225	2.650
OGLE-LMC-CEP-0045	F	70.794750	-67.282778	16.146	16.834	0.688	1.8669280	0.0000027	6001.52638	0.497	0.473	4.381	0.283	2.625
OGLE-LMC-CEP-0046	F	70.836915	-69.229972	13.948	14.745	0.797	8.8436041	0.0000500	6006.17876	0.502	0.226	5.148	0.181	3.874
OGLE-LMC-CEP-0047	1	70.856745	-69.897056	15.273	15.904	0.631	2.0713571	0.0000045	6001.58053	0.286	0.200	4.582	0.030	3.260
OGLE-LMC-CEP-0048	F	70.881045	-69.624694	14.465	15.157	0.692	5.5482140	0.0000132	6002.79336	0.552	0.415	4.601	0.171	2.807
OGLE-LMC-CEP-0049	F	70.898205	-70.696278	15.316	16.192	0.876	3.8491608	0.0000136	6002.77336	0.229	0.231	4.543	0.062	2.743
OGLE-LMC-CEP-0050	F	70.918005	-69.570611	14.195	15.021	0.826	7.8454429	0.0000283	6005.48757	0.467	0.367	5.342	0.184	3.578
OGLE-LMC-CEP-0051	1	70.933995	-70.304083	15.566	16.231	0.665	1.7544645	0.0000024	6001.60060	0.297	0.232	4.342	0.049	2.768
OGLE-LMC-CEP-0052	1	70.975875	-68.820806	15.118	15.755	0.637	2.3856460	0.0000076	6001.65817	0.209	0.105	4.592	0.000	-99.99
OGLE-LMC-CEP-0053	F	71.020080	-69.841417	15.685	16.412	0.727	2.6338747	0.0000023	6001.37846	0.694	0.502	4.332	0.373	2.514
OGLE-LMC-CEP-0054	1	71.025465	-70.095500	15.197	15.888	0.691	2.2765684	0.0000079	6000.40871	0.171	0.092	4.651	0.023	3.836
OGLE-LMC-CEP-0055	F	71.141955	-67.072639	15.452	16.098	0.646	2.8620681	0.0000027	6002.29255	0.558	0.485	4.483	0.271	2.711
OGLE-LMC-CEP-0056	F	71.196000	-70.230833	15.355	16.256	0.901	3.6670371	0.0000230	6002.36330	0.412	0.417	4.628	0.207	3.101
OGLE-LMC-CEP-0057	F	71.219505	-69.033194	13.886	14.799	0.913	10.3067803	0.0000776	6005.48867	0.318	0.234	6.023	0.102	5.040
OGLE-LMC-CEP-0058	F	71.222295	-69.191583	14.977	15.730	0.753	4.3155685	0.0000058	6001.56383	0.603	0.450	4.606	0.225	3.002
OGLE-LMC-CEP-0059	F	71.228745	-68.639361	15.011	15.815	0.804	4.3903931	0.0000083	6004.34899	0.472	0.432	4.772	0.204	3.294
OGLE-LMC-CEP-0060	F	71.248245	-69.832139	15.417	16.199	0.782	3.4064849	0.0000072	6000.57849	0.523	0.454	4.588	0.248	2.934
OGLE-LMC-CEP-0061	12	71.253255	-68.117028	16.660	17.290	0.630	0.8685818	0.0000021	6000.65029	0.272	0.271	3.937	0.099	2.034
OGLE-LMC-CEP-0062	1	71.306835	-68.914389	15.089	15.888	0.799	2.1530915	0.0000075	6000.63165	0.227	0.154	4.663	0.022	3.565
OGLE-LMC-CEP-0063	F	71.327625	-69.277389	-99.99	13.630	-99.99	21.0677110	0.0040892	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99
OGLE-LMC-CEP-0064	F	71.372250	-69.147056	15.295	15.987	0.692	3.2291389	0.0000063	6001.30270	0.545	0.442	4.407	0.233	2.602
OGLE-LMC-CEP-0065	1	71.372370	-68.321194	18.198	18.930	0.732	0.3382917	0.0000013	6000.00296	0.112	0.104	-99.99	0.000	-99.99
OGLE-LMC-CEP-0066	1	71.392410	-69.898333	15.735	16.519	0.784	1.9492243	0.0000097	6001.78214	0.156	0.122	5.102	0.000	-99.99
OGLE-LMC-CEP-0067	F	71.394255	-70.370861	15.327	16.111	0.784	3.4854335	0.0000044	6003.23717	0.487	0.416	4.558	0.218	2.881
OGLE-LMC-CEP-0068	F	71.404965	-70.251028	12.748	13.584	0.836	28.3738735	0.0003703	6005.00515	0.761	0.407	5.057	0.302	3.804
OGLE-LMC-CEP-0069	1	71.411205	-68.651750	15.651	16.349	0.698	1.8070072	0.0000106	6000.19639	0.130	0.109	4.830	0.000	-99.99
OGLE-LMC-CEP-0070	F	71.504505	-69.648833	13.754	14.766	1.012	13.7462846	0.0000794	6011.02012	0.470	0.100	4.533	0.151	1.596
OGLE-LMC-CEP-0071	1	71.526330	-68.775500	15.962	16.584	0.622	1.3858956	0.0000023	6001.30287	0.304	0.185	4.236	0.052	3.049
OGLE-LMC-CEP-0072	F	71.636790	-68.749333	15.565	16.253	0.688	2.3366463	0.0000121	6000.01759	0.290	0.218	4.041	0.068	1.118
OGLE-LMC-CEP-0073	12	71.660415	-67.145528	16.785	-99.99	-99.99	0.8371477	0.0000014	6000.61249	0.242	0.405	4.629	0.318	1.834
OGLE-LMC-CEP-0074	1	71.660460	-66.963528	15.422	16.008	0.586	1.7931230	0.0000048	6000.97707	0.254	0.189	4.417	0.024	2.432
OGLE-LMC-CEP-0075	F	71.662965	-70.266000	15.342	16.121	0.779	3.4187485	0.0000029	6003.10255	0.590	0.443	4.491	0.258	2.740
OGLE-LMC-CEP-0076	F	71.699715	-69.095306	15.033	15.904	0.871	5.1478925	0.0000225	6000.45137	0.232	0.277	4.977	0.047	3.799
OGLE-LMC-CEP-0077	1	71.735460	-68.128556	14.954	15.657	0.703	2.9660163	0.0000140	6000.14821	0.215	0.076	3.442	0.039	0.012
OGLE-LMC-CEP-0078	F	71.754090	-70.097917	14.316	15.172	0.856	7.3826504	0.0000224	6001.86552	0.469	0.361	5.300	0.175	3.524
OGLE-LMC-CEP-0079	F	71.778660	-69.294306	13.103	14.132	1.029	22.5437817	0.0002185	6001.56476	0.663	0.306	5.036	0.192	3.311
OGLE-LMC-CEP-0080	1	71.796210	-67.667444	14.870	15.612	0.742	3.4203322	0.0000194	6001.42402	0.221	0.180	4.102	0.080	1.320
OGLE-LMC-CEP-0081	12	71.805870	-66.650417	17.105	17.632	0.527	0.5360222	0.0000006	6000.04193	0.240	0.174	2.226	0.224	0.310
OGLE-LMC-CEP-0082	1	71.811960	-69.996500	14.153	14.861	0.708	4.9307350	0.0000530	6001.27154	0.080	0.122	4.378	0.000	-99.99
OGLE-LMC-CEP-0083	F1	71.817795	-69.850500	17.594	18.215	0.621	0.5805540	0.0000048	6000.20608	0.081	0.183	4.802	0.000	-99.99
OGLE-LMC-CEP-0084	1	71.833545	-69.486917	14.745	15.502	0.757	3.4993228	0.0000178	6003.30599	0.195	0.105	3.502	0.053	0.252
OGLE-LMC-CEP-0085	1	71.833590	-69.945000	14.851	15.559	0.708	3.0301025	0.0000136	6000.64399	0.231	0.069	3.541	0.050	6.150
OGLE-LMC-CEP-0086	1	71.845035	-69.436139	15.490	16.181	0.691	2.0407738	0.0000066	6000.57315	0.225	0.111	4.984	0.022	4.584
OGLE-LMC-CEP-0087	F	71.850630	-69.721972	15.213	15.955	0.742	3.5902086	0.0000039	6002.84126	0.636	0.479	4.476	0.290	2.721
OGLE-LMC-CEP-0088	1	71.879160	-69.513306	15.362	15.997	0.635	2.0454940	0.0000057	6001.83162	0.183	0.098	4.688	0.000	-99.99
OGLE-LMC-CEP-0089	F	71.879505	-68.924639	15.194	15.991	0.797	4.6938588	0.0000172	6003.35310	0.323	0.321	4.864	0.091	3.285
OGLE-LMC-CEP-0090	F	71.936370	-70.202000	15.132	15.867	0.735	4.0004649	0.0000067	6001.16894	0.679	0.512	4.709	0.275	3.255
OGLE-LMC-CEP-0091	F	71.942250	-68.330417	15.349	16.123	0.774	3.5989553	0.0000065	6001.68942	0.439	0.424	4.623	0.214	2.992
OGLE-LMC-CEP-0092	1	71.948205	-67.866083	15.618	16.184	0.566	1.6208589	0.0000037	6001.57659	0.205	0.134	4.784	0.000	-99.99
OGLE-LMC-CEP-0093	1	71.990880	-70.325972	15.571	16.366	0.795	2.1697478	0.0000094	6000.63539	0.184	0.112	5.169	0.029	4.535
OGLE-LMC-CEP-0094	F	72.003750	-69.320778	16.009	-99.99	-99.99	3.2127688	0.0000334	6002.91601	0.321	0.376	4.621	0.166	2.958
OGLE-LMC-CEP-0095	F	72.008205	-67.808139	15.476	16.159	0.683	2.7749337	0.0000045	6002.18484	0.456	0.471	4.443	0.252	2.714
OGLE-LMC-CEP-0096	1	72.018120	-69.307194	14.550	15.324	0.774	4.3379802	0.0000538	6004.21179	0.152	0.153	4.047	0.036	1.201
OGLE-LMC-CEP-0097	1	72.111330	-67.546417	14.399	15.128	0.729	3.9934311	0.0000271	6003.81121	0.220	0.170	3.893	0.089	1.144
OGLE-LMC-CEP-0098	1	72.121125	-70.478694	16.661	17.368	0.707	1.0012480	0.0000019	6000.46851	0.203	0.224	4.017	0.058	1.675
OGLE-LMC-CEP-0099	1	72.128745	-68.561944	16.360	17.026	0.666	1.0930677	0.0000018	6001.00822	0.182	0.179	4.045	0.046	1.728
OGLE-LMC-CEP-0100	F	72.142545	-70.171194	15.455	16.198	0.743	3.2094086	0.0000038	6002.83445	0.511	0.419	4.506	0.224	2.760
OGLE-LMC-CEP-0101	F	72.142620	-69.347278	14.692	15.778	1.086	8.1924377	0.0003007	6007.89956	0.042	0.066	6.068	0.000	-99.99
OGLE-LMC-CEP-0102	2	72.144330	-67.529833	16.126	16.706	0.580	0.8399510	0.0000041	6000.36582	0.051	0.000	-99.99	0.000	-99.99
OGLE-LMC-CEP-0103	F	72.148380	-67.583333	13.988	14.675	0.687	7.1572780	0.0000251	6003.03526	0.396	0.287	4.735	0.092	2.690
OGLE-LMC-CEP-0104	F	72.190170	-70.005917	15.434	16.175	0.741	3.1095464	0.0000035	6001.42476	0.484	0.433	4.501	0.228	2.767
OGLE-LMC-CEP-0105	F	72.203715	-66.733917	14.944	15.718	0.774	4.7407405	0.0000121	6003.00582	0.458	0.435	4.873	0.186	3.487
OGLE-LMC-CEP-0106	F	72.210870	-70.248111	15.439	16.222	0.783	3.2675038	0.0000084	6001.97906	0.466	0.451	4.534	0.249	2.869
OGLE-LMC-CEP-0107	F	72.213960	-69.356333	13.947	14.761	0.814	8.7388601	0.0000420	6001.45703	0.505	0.284	5.219	0.211	3.515
OGLE-LMC-CEP-0108	F	72.233790	-68.901861	15.250	15.989	0.739	3.7476000	0.0000128	6000.26664	0.261	0.343	4.603	0.128	3.003
